A	B	scaled_weight
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[r]	MAR03679	0.706208840124596
cholesterol[r]	MAR03679	0.706208840124596
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[r]	MAR03680	0.706208840124601
cholesterol[r]	MAR03680	0.706208840124601
(11Z,14Z)-eicosadienoyl-CoA[r]	MAR03681	0.706208840124593
cholesterol[r]	MAR03681	0.706208840124593
(13Z,16Z)-docosadienoyl-CoA[r]	MAR03682	0.706208840124596
cholesterol[r]	MAR03682	0.706208840124596
10,13,16-docosatrienoyl-CoA[r]	MAR03683	0.502104405725709
cholesterol[r]	MAR03683	0.502104405725709
cholesterol-ester-laur[r]	MAR03684	0.706208840124595
H2O[r]	MAR03684	0.706208840124595
cholesterol-ester-tridec[r]	MAR03685	0.706208840124594
H2O[r]	MAR03685	0.706208840124594
cholesterol-ester-myrist[r]	MAR03686	0.7062088401246
H2O[r]	MAR03686	0.7062088401246
cholesterol-ester-9-tetrade[r]	MAR03687	0.706208840124593
H2O[r]	MAR03687	0.706208840124593
cholesterol-ester-7-tetrade[r]	MAR03688	0.706208840124593
H2O[r]	MAR03688	0.706208840124593
cholesterol-ester-5-tetra[r]	MAR03689	0.706208840124604
H2O[r]	MAR03689	0.706208840124604
cholesterol-ester-penta[r]	MAR03690	0.706208840124597
H2O[r]	MAR03690	0.706208840124597
cholesterol-ester-palm[r]	MAR03691	0.708986886407534
H2O[r]	MAR03691	0.708986886407534
cholesterol-ester-7-hexa[r]	MAR03692	0.706208840124603
H2O[r]	MAR03692	0.706208840124603
cholesterol-ester-palmn[r]	MAR03693	0.702777023810614
H2O[r]	MAR03693	0.702777023810614
cholesterol-ester-hepta[r]	MAR03694	0.706208840124602
H2O[r]	MAR03694	0.706208840124602
cholesterol-ester-10-hepta[r]	MAR03695	0.706208840124592
H2O[r]	MAR03695	0.706208840124592
cholesterol-ester-9-heptade[r]	MAR03696	0.706208840124593
H2O[r]	MAR03696	0.706208840124593
cholesterol-ester-stea[r]	MAR03697	0.706287386077832
H2O[r]	MAR03697	0.706287386077832
cholesterol-ester-13-octade[r]	MAR03698	0.706208840124595
H2O[r]	MAR03698	0.706208840124595
cholesterol-ester-cis-vac[r]	MAR03699	0.706208840124585
H2O[r]	MAR03699	0.706208840124585
cholesterol-ester-ol[r]	MAR03700	0.812110896155891
H2O[r]	MAR03700	0.812110896155891
cholesterol-ester-9-octa[r]	MAR03701	0.706208840124605
H2O[r]	MAR03701	0.706208840124605
cholesterol-ester-7-octade[r]	MAR03702	0.263377381869988
H2O[r]	MAR03702	0.263377381869988
cholesterol-ester-6,9-octa[r]	MAR03703	0.706208840124602
H2O[r]	MAR03703	0.706208840124602
cholesterol-ester-nanode[r]	MAR03704	0.706208840124602
H2O[r]	MAR03704	0.706208840124602
cholesterol-ester-eico[r]	MAR03705	0.706208840124594
H2O[r]	MAR03705	0.706208840124594
cholesterol-ester-13-eicose[r]	MAR03706	0.706208840124605
H2O[r]	MAR03706	0.706208840124605
cholesterol-ester-11-eico[r]	MAR03707	0.706208840124594
H2O[r]	MAR03707	0.706208840124594
cholesterol-ester-9-eicose[r]	MAR03708	0.706208840124594
H2O[r]	MAR03708	0.706208840124594
cholesterol-ester-8,11-eico[r]	MAR03709	0.706208840124592
H2O[r]	MAR03709	0.706208840124592
cholesterol-ester-5,8,11-eico[r]	MAR03710	0.706208840124585
H2O[r]	MAR03710	0.706208840124585
cholesterol-ester-heneico[r]	MAR03711	0.706208840124602
H2O[r]	MAR03711	0.706208840124602
cholesterol-ester-docosa[r]	MAR03712	0.708481835283295
H2O[r]	MAR03712	0.708481835283295
cholesterol-ester-13-docose[r]	MAR03713	0.706208840124607
H2O[r]	MAR03713	0.706208840124607
cholesterol-ester-11-docose[r]	MAR03714	0.706208840124596
H2O[r]	MAR03714	0.706208840124596
cholesterol-ester-trico[r]	MAR03715	0.706208840124595
H2O[r]	MAR03715	0.706208840124595
cholesterol-ester-tetraco[r]	MAR03716	0.706208840124595
H2O[r]	MAR03716	0.706208840124595
cholesterol-ester-15-tetra[r]	MAR03717	0.706208840124592
H2O[r]	MAR03717	0.706208840124592
cholesterol-ester-hexacosa[r]	MAR03718	0.706208840124593
H2O[r]	MAR03718	0.706208840124593
cholesterol-ester-hexecose[r]	MAR03719	0.706208840124595
H2O[r]	MAR03719	0.706208840124595
cholesterol-ester-linolen[r]	MAR03720	0.703433522344748
H2O[r]	MAR03720	0.703433522344748
cholesterol-ester-6,9,12,15-octa[r]	MAR03721	0.703452573929497
H2O[r]	MAR03721	0.703452573929497
cholesterol-ester-8,11,14,17-eico[r]	MAR03722	0.706208840124589
H2O[r]	MAR03722	0.706208840124589
cholesterol-ester-5,8,11,14,17-eico[r]	MAR03723	0.708511164285311
H2O[r]	MAR03723	0.708511164285311
cholesterol-ester-7,10,13,16,19-docosa[r]	MAR03724	0.706208840124593
H2O[r]	MAR03724	0.706208840124593
cholesterol-ester-9,12,15,18,21-tetra[r]	MAR03725	0.706208840124595
H2O[r]	MAR03725	0.706208840124595
cholesterol-ester-6,9,12,15,18,21-tetra[r]	MAR03726	0.706208840124602
H2O[r]	MAR03726	0.706208840124602
cholesterol-ester-4,7,10,13,16,19-doco[r]	MAR03727	0.706208840124585
H2O[r]	MAR03727	0.706208840124585
cholesterol-ester-11,14,17-eico[r]	MAR03728	0.706208840124595
H2O[r]	MAR03728	0.706208840124595
cholesterol-ester-13,16,19-doco[r]	MAR03729	0.706208840124593
H2O[r]	MAR03729	0.706208840124593
cholesterol-ester-10,13,16,19-docosa[r]	MAR03730	0.263377381869988
H2O[r]	MAR03730	0.263377381869988
cholesterol-ester-12,15,18,21-tetracosa[r]	MAR03731	0.263377381869988
H2O[r]	MAR03731	0.263377381869988
cholesterol-ester-lin[r]	MAR03732	0.702338813166811
H2O[r]	MAR03732	0.702338813166811
cholesterol-ester-gamma-lin[r]	MAR03733	0.703466180156354
H2O[r]	MAR03733	0.703466180156354
cholesterol-ester-dihomo-gamma[r]	MAR03734	0.7033556765326
H2O[r]	MAR03734	0.7033556765326
cholesterol-ester-arach[r]	MAR03735	0.708724247888407
H2O[r]	MAR03735	0.708724247888407
cholesterol-ester-7,10,13,16-docosa[r]	MAR03736	0.706208840124593
H2O[r]	MAR03736	0.706208840124593
