"source"	"target"
362665	902255
362665	902256
362665	902259
362665	902261
362665	902262
362665	902263
362665	902264
362665	902266
362665	902267
362665	902268
362665	902269
362665	902270
362665	902272
362665	902273
362665	902274
362665	902275
362665	902276
362665	902278
362665	902279
363172	902319
363082	902351
363237	902372
363325	902373
363262	902374
363322	902375
363329	902376
294088	902536
367749	902960
367749	902966
367749	902969
367749	902971
367749	902973
367749	902974
367749	902975
367749	902976
367749	902978
367749	902980
367749	902981
367749	902984
367749	902990
367749	902993
367749	902999
367749	903000
367749	903003
367749	903004
367749	903006
367749	903007
367749	903009
367749	903010
367738	903017
367709	903018
367736	903019
367817	903020
367719	903021
367738	903022
367736	903023
367738	903024
367749	903036
367749	903037
367749	903040
367749	903043
367749	903045
367749	903046
367749	903048
367749	903051
367749	903052
367749	903056
367749	903059
367749	903065
367749	903066
367749	903069
374942	903458
374952	903459
374829	903460
374882	903461
374965	903477
374965	903478
332353	903522
794449	903533
419794	904013
419832	904017
428520	904381
419963	904401
429402	904560
333623	904660
431115	904740
431123	904741
431214	904742
431220	904834
431223	904835
420192	905060
420192	905087
420192	905180
420205	905181
435431	905597
435431	905605
435431	905654
435431	905660
435431	905661
435434	905662
435494	905684
435434	905699
419313	905755
139915	905793
639221	905875
374965	906297
444746	906348
446224	906608
446724	906686
446724	906688
446724	906690
446724	906694
446724	906698
446724	906699
446724	906701
446724	906702
446724	906704
446724	906706
448961	906847
643468	907045
449904	907094
450926	907171
294088	907186
451150	907208
451283	907229
451291	907230
453498	907790
453487	907791
285876	907821
454157	907960
454157	907996
271051	908045
454797	908084
454797	908088
454797	908090
454797	908093
454797	908096
454797	908097
455585	908150
455630	908158
455632	908165
455648	908166
458970	908309
493708	908722
494737	908803
494697	908804
428520	908851
495471	908910
459521	909101
496963	909180
633154	909269
497834	909295
497834	909298
497834	909302
497834	909309
497834	909311
497834	909312
497834	909313
497834	909315
497834	909318
497834	909319
